Covidence #;Study ID;Title;Reviewer Name;Title_1;DOI;Authors;Year of publication;Domain;Network topology;Execution type;Coordination mechanism;Governance;Security measures;Computation location;Data storage;Data movement;Output control;Data output;Components and responsibilities:; Component; Responsibility; Component_2; Responsibility_3; Component_4; Responsibility_5; Component_6; Responsibility_7; Component_8; Responsibility_9; Component_10; Responsibility_11; Component_12; Responsibility_13; Component_14; Responsibility_15; Component_16; Responsibility_17; Component_18; Responsibility_19;Column1;Architecture diagram present;Architecture diagram;Architecture summary;Researcher autonomy;Data distribution;Data visibility;Anonymity of data;Output control_20;Trust and control distribution;Auditability and traceability
209;Kyriakou 2024;A Secure and Trustworthy Biometric Data Ecosystem for Cross-border Suspect Identification;Consensus;A Secure and Trustworthy Biometric Data Ecosystem for Cross-border Suspect Identification;10.1109/BigData62323.2024.10826113;Katerina Kyriakou, Apostolos Apostolaras, Polychronis Velentzas, Georgios Benos, Konstantinos Koutsoukos, Chrysostomos Symvoulidis, Kaitai Liang, Zeshun Shi, Asterios Leonidis, Kyriaki Miniadou, Eleni Veroni, Spyridon Evangelatos, Georgios Th. Papadopoulos, Thanasis Korakis;2024;Government;Decentralized;"Trusted environment; Query-based";"Federated coordinator; Blockchain-coordinated";Federated;"Legal agreements; Homomorphic encryption; Authentication";Federated databases;Federated databases;"Metadata; Aggregates; Encrypted data; Raw data";"Manual review; Automated filtering";"Aggregates; Raw data";;Data space node;Stores data, offers results along policy. Request results from other nodes;;;;;;;;;;;;;;;;;;;;No;#209-BDS;A decentralized biometric data-sharing ecosystem for cross-border suspect identification where LEAs keep local control of biometric databases while secure IDS connectors, blockchain smart contracts, and PETs (deep hashing, homomorphic encryption, AES/fuzzy extractors) enable encrypted distributed biometric search and controlled profile exchange.;3;5;3;4;4;4;5
217;Kallisch 2026;Connecting Manufacturing Sector Data Ecosystems with Federated Learning;Consensus;Connecting Manufacturing Sector Data Ecosystems with Federated Learning;10.1007/978-3-031-99219-3_3;Jonas Kallisch, Jorge Marx Gómez;2026;Industrial;Centralized;Federated learning;Central orchestrator;Federated;"Differential privacy; Legal agreements; Authentication";Federated databases;Federated databases;"Metadata; Model parameters";"Manual review; Automated filtering";Model;;Data space node;Train local model, share with orchestrator through data space.;Orchestrator node;Request trained model from local node, using services or otherwise, aggregate results.;;;;;;;;;;;;;;;;;;Yes;#271-FL-DE;The paper proposes integrating FL into manufacturing data ecosystems such as GAIA-X and EuProGiant. Data remain local at companies while FL clients train models collaboratively through federated coordination and catalog/discovery services. Architectures aim to preserve sovereignty while enabling cross-company analytics.;2;5;1;2;4;3;3
255;Abd 2025;Hydra Radio Access Network (Hydra-RAN): Multi-Functional Communications and Sensing Networks: A Hierarchical Framework for Task Distribution;Consensus;Hydra Radio Access Network (Hydra-RAN): Multi-Functional Communications and Sensing Networks: A Hierarchical Framework for Task Distribution;10.1109/ICTC66702.2025.11388197;Rafid I. Abd, Kwang Soon Kim, Masoud Ardakani;2025;IoT;Hierarchical;Containerized execution;Central orchestrator;Centralized;;"Cloud; Edge device; Federated databases";"Cloud; Edge device; Federated databases";"Aggregates; Model; Encrypted data; Raw data";Unrestricted;"Aggregates; Model; Raw data";;Sensors, IoT, Mobile devices, Cars;Generate stream data.;Edge devices;Sensing and classification of environment, pre-processing of sensor data, execution of lightweight ML models.;Fog devices;Aggregation of edge results, execution of agents for real-time decision-making, coordination of scheduling.;Cloud servers;Long-term learning model updates, management of historical data.;;;;;;;;;;;;;;Yes;#255-Hydra-RAN;Hydra-RAN is a hierarchical edge–fog–cloud framework for dynamic, context-aware task distribution in multifunctional communication and sensing networks. Lightweight low-latency tasks run at the edge, DRL-based scheduling occurs at the fog layer, and global orchestration/model training occurs in the cloud.;4;5;2;4;1;2;2
288;Choudhury 2025;Advancing Privacy-Preserving Health Care Analytics and Implementation of the Personal Health Train: Federated Deep Learning Study;Consensus;Advancing Privacy-Preserving Health Care Analytics and Implementation of the Personal Health Train: Federated Deep Learning Study;10.2196/60847;"Ananya Choudhury; Leroy Volmer; Frank Martin; Rianne Fijten; Leonard Wee; Andre Dekker; Johan van Soest";2025;Healthcare;Centralized;"Federated learning; Containerized execution";Central orchestrator;"Federated; Consortium";"VPN; Legal agreements; Firewall; Authentication";"Cloud; Edge device";"Edge device; Federated databases";Model parameters;"Manual review; Disclosure";Model;;Central coordinating server;Task orchestration, client handling.;Secure Aggregation Server;Model aggregation.;Data nodes;Local training of model, export of parameters.;;;;;;;;;;;;;;;;Yes;#288-ARGOS;PHT/Vantage6-based federated deep learning infrastructure connecting distributed hospital data stations through secure encrypted tracks, coordinated by a central server and secure aggregation server. Dockerized CNN models train locally at hospitals, only model weights are exchanged and aggregated centrally without sharing raw patient data.;2;4;1;2;4;3;4
360;Alzubaidi 2025;ATD Learning: A secure, smart, and decentralised learning method for big data environments;Consensus;ATD Learning: A secure, smart, and decentralized learning method for big data environments;10.1016/j.inffus.2025.102953;"Laith Alzubaidi, Sabah Abdulazeez Jebur, Tanya Abdulsattar Jaber, Mohanad A. Mohammed, Haider A. Alwzwazy, Ahmed Saihood, Harshala Gammulle,
Jose Santamaria, Ye Duan, Clinton Fookes, Raja Jurdak, Yuantong Gu";2025;"IoT; Cross-domain";Decentralized;Federated learning;"Peer-to-peer; Blockchain-coordinated";"Consortium; Decentralized";"Homomorphic encryption; Authentication";Federated databases;Federated databases;Model parameters;Automated filtering;Model;;Federated node;Trains model on local data, combines with other models, communicates with other nodes. Logging on blockchain.;;;;;;;;;;;;;;;;;;;;Yes;#360-ADT;Decentralized AI-to-data framework where models move to local data sources, nodes exchange encrypted features through blockchain-secured peer-to-peer coordination, and global learning is achieved via feature fusion and consensus validation.;4;5;2;2;4;5;5
384;Buzin 2025;A Modular Architecture for Inter-Fog Environments;Consensus;A Modular Architecture for Inter-Fog Environments;10.1109/IOTSMS68530.2025.11408502;Henrique Buzin, Alysson Oliveira, Mauro Marques, Patricia Della Mea Plentz;2025;IoT;Hierarchical;Containerized execution;"Central orchestrator; Federated coordinator";Centralized;Authentication;"Cloud; Edge device; Federated databases";"Cloud; Edge device";"Aggregates; Raw data";Unrestricted;"Aggregates; Raw data";;IoT;Generate data, send upward.;Primary node;Orchestrates distribution of tasks between fog notes.;Fog node;Compute, send result upward.;Aggregator node;Combine results from fog nodes, send to cloud.;Cloud;Compute hungry tasks, store results.;;;;;;;;;;;;Yes;#384-IFE;Modular fog computing architecture enabling direct inter-fog communication, protocol abstraction (HTTP/CoAP), load balancing, configurable services, and cloud integration for smart-city IoT processing.;4;5;3;4;2;3;2
442;Falcão 2023;A Reference Architecture for Enabling Interoperability and Data Sovereignty in the Agricultural Data Space;Consensus;A Reference Architecture for Enabling Interoperability and Data Sovereignty in the Agricultural Data Space;10.3390/info14030197;Rodrigo Falcão, Raghad Matar, Bernd Rauch, Frank Elberzhager, Matthias Koch;2023;"IoT; Industrial";Hierarchical;Query-based;Federated coordinator;Federated;"Authentication; Manual approval";"Cloud; VM; Federated databases";"Cloud; Federated databases";"Aggregates; Raw data";"Manual review; Automated filtering";Aggregates;;Twin hub node;Hosts twin hub instance, stores data, allows connections and processes when necessary.;Farmer node;Upload data to twin hub node, approve usages. Request data / results from other farmers.;External nodes;Request data / results from other farmers.;;;;;;;;;;;;;;;;Yes;#442-COGNAC;Multi-instance “Twin-Hub” platform for agricultural data sharing. Farmers host digital field twins, manage fine-grained consent, and monitor access logs. Services access field data through standardized APIs or mediated exchange mechanisms to support interoperability and data sovereignty.;3;3;3;5;4;3;5
454;BoninodaSilvaSantos 2023;Personal Health Train Architecture with Dynamic Cloud Staging;Consensus;Personal Health Train Architecture with Dynamic Cloud Staging;10.1007/s42979-022-01422-4;Luiz Olavo Bonino da Silva Santos, Luís Ferreira Pires1, Virginia Graciano Martinez, João Luiz Rebelo Moreira, Renata Silva Souza Guizzardi;2022;Healthcare;Centralized;"Query-based; Containerized execution; Other: API, Script, Message";Central orchestrator;Federated;"VPN; Authentication; Manual approval; Other: Encryption";"Cloud; Federated databases";Federated databases;"Metadata; Aggregates; Raw data";"Manual review; Automated filtering";Aggregates;;Data Station;Hosts data, executes trains, enforces access control.;Personal Gateway;Mediates communication with Data Controllers;Station Directory;Metadata indexing and discovery of stations/data.;Train;Encapsulated analysis request/algorithm;;;;;;;;;;;;;;Yes;#454-PHT-DCS;"The architecture extends the Personal Health Train (PHT) paradigm, where algorithms (""trains"") travel to data rather than moving data to analysts. Data remain under control of local Data Stations. When a station lacks computational resources, a cloud-based Staging Station is dynamically deployed in AWS. Required data are copied to this controlled cloud environment, containerized analysis is executed, results are returned to the original Data Station, and outputs may be reviewed before release. The architecture combines federated governance with elastic cloud computation while preserving local control and privacy compliance.";4;4;1;4;3;4;4
485;Fidelis 2024;Improving edge AI for industrial IoT applications with distributed learning using consensus;Consensus;Improving edge AI for industrial IoT applications with distributed learning using consensus;10.1007/s10617-024-09284-0;Samuel Fidelis, Márcio Castro, Frank Siqueira;2024;"IoT; Industrial";Hierarchical;Federated learning;"Central orchestrator; Peer-to-peer";Decentralized;;"Cloud; Edge device";"Cloud; Edge device; Federated databases";"Aggregates; Model parameters; Raw data";Unrestricted;Aggregates;;IoT/sensors;Generate data, send upward.;Mist node;Pre=processing, tinyML, send results upward.;Fog nodes;Federated learning, send results upward.;Cloud nodes;Aggregate and store results. ;;;;;;;;;;;;;;Insufficient;#485-DEAI;Distributed Edge AI architecture for IIoT where lightweight ML models run on mist/fog edge nodes, predictions are combined using a peer-to-peer consensus algorithm, and cloud resources are mainly used for summarized storage and dashboards.;3;5;4;4;2;5;2
530;Merkl 2020;Complex Event Processing on the Edge - Bringing Data Consolidation and Processing closer to Wireless Sensor Networks;Consensus;Complex Event Processing on the Edge - Bringing Data Consolidation and Processing closer to Wireless Sensor Networks;10.13140/RG.2.2.14784.97286;David Merkl, Henry-Norbert Cocos;2020;IoT;Hierarchical;Containerized execution;Central orchestrator;Centralized;Authentication;"Cloud; Edge device";"Cloud; Edge device; Central server, database";"Aggregates; Raw data";Unrestricted;"Aggregates; Raw data";;Sensor nodes;Generate data, send upward.;Coordinator node;Receive data from sensor nodes, coordinate computation.;Edge nodes;Compute, send results upward.;Cloud node;Compute hungry tasks, store results.;;;;;;;;;;;;;;Yes;#530-ZigBee;A ZigBee-based wireless sensor network sends environmental sensor data to a Raspberry Pi edge node running Siddhi CEP and MongoDB. The edge node preprocesses, filters, aggregates, and stores data locally before forwarding selected data to fog/cloud services for further analytics.;4;2;4;4;2;2;2
